year,month,day,checklists,contributors,species
1874,4,27,0,2,2
1874,4,29,0,1,2
1874,4,30,0,2,2
1874,5,1,0,1,2
1874,5,2,0,1,2
1874,5,5,0,1,1
1874,5,7,0,1,1
1874,5,8,0,3,2
1874,5,9,0,1,1
1874,5,10,0,2,1
1874,5,14,0,1,1
1874,5,19,0,1,1
1874,5,20,0,1,1
1874,5,22,0,2,1
1874,6,14,0,1,1
1874,6,15,0,1,1
1874,7,12,0,1,1
1874,8,4,0,1,0
1874,8,6,0,1,1
1874,8,21,0,1,2
1874,8,31,0,1,1
1874,9,5,0,1,0
1874,9,27,0,1,0
1874,10,10,0,1,1
1874,10,14,0,1,1
1874,11,30,0,1,1
1874,12,22,0,1,1
1875,1,1,0,2,1
1875,2,5,0,1,1
1875,2,19,0,1,1
1875,3,13,0,1,3
1875,3,14,0,1,1
1875,3,27,0,1,1
1875,4,12,0,1,1
1875,4,16,0,1,0
1875,4,17,0,1,1
1875,4,23,0,1,1
1875,4,28,0,1,1
1875,4,30,0,1,1
1875,5,4,0,1,1
1875,5,5,0,1,1
1875,5,7,0,1,1
1875,5,8,0,1,1
1875,5,10,0,1,2
1875,5,15,0,3,2
1875,5,16,0,1,1
1875,5,17,0,1,1
1875,5,20,0,1,1
1875,6,8,0,1,1
1875,6,12,0,1,1
1875,6,19,0,1,0
1875,6,21,0,1,1
1875,6,26,1,1,1
1875,7,14,0,2,4
1875,7,15,0,1,2
1875,7,16,0,1,1
1875,7,24,0,1,6
1875,7,27,0,1,3
1875,7,28,0,1,1
1875,7,30,0,1,9
1875,8,2,0,1,1
1875,8,9,0,1,7
1875,8,11,0,1,2
1875,8,28,0,1,1
1875,9,1,0,1,1
1875,9,4,0,1,0
1875,9,5,0,2,2
1875,9,13,0,1,1
1875,10,25,0,1,1
1875,11,20,0,1,1
1875,11,30,0,1,1
1875,12,13,0,1,1
1876,1,1,0,1,1
1876,1,2,0,1,1
1876,1,3,0,1,1
1876,1,14,0,1,1
1876,2,19,0,1,2
1876,3,8,0,1,1
1876,3,17,0,1,0
1876,3,27,0,1,1
1876,4,2,0,1,1
1876,4,6,0,1,1
1876,4,8,0,1,0
1876,4,16,0,1,1
1876,4,20,0,1,1
1876,4,21,0,1,1
1876,4,22,0,2,2
1876,4,24,0,1,1
1876,4,30,0,1,1
1876,5,1,0,1,1
1876,5,4,0,1,1
1876,5,6,0,1,1
1876,5,8,0,1,1
1876,5,9,0,1,1
1876,5,12,0,1,0
1876,5,14,0,1,1
1876,5,23,1,2,2
1876,5,24,1,1,1
1876,5,27,1,1,2
1876,6,1,0,1,0
1876,6,3,1,2,4
1876,6,5,1,1,1
1876,6,6,1,1,2
1876,6,7,1,1,1
1876,6,8,1,1,1
1876,6,9,0,1,3
1876,6,10,1,2,2
1876,6,17,0,1,4
1876,7,10,0,1,0
1876,7,17,1,1,1
1876,8,16,0,1,1
1876,8,23,0,1,1
1876,9,1,0,1,1
1876,9,4,0,1,1
1876,9,6,0,1,1
1876,9,21,0,1,1
1876,9,28,0,1,1
1876,10,1,0,1,1
1876,10,21,0,1,1
1876,10,23,0,1,1
1876,10,26,0,1,1
1876,11,10,0,1,1
1876,11,15,0,1,1
1877,1,1,0,1,1
1877,2,3,0,1,2
1877,2,20,0,1,1
1877,3,18,0,1,1
1877,3,20,0,1,0
1877,3,30,0,1,0
1877,4,1,0,1,1
1877,4,3,0,1,2
1877,4,4,0,1,1
1877,4,5,0,2,2
1877,4,9,0,1,1
1877,4,11,0,1,1
1877,4,16,0,1,1
1877,4,17,0,1,1
1877,4,18,0,1,1
1877,4,20,0,1,3
1877,4,22,0,1,0
1877,4,24,0,1,1
1877,4,27,0,1,1
1877,4,28,0,1,1
1877,5,5,0,1,1
1877,5,7,0,1,1
1877,5,8,0,1,1
1877,5,12,0,2,2
1877,5,13,0,1,1
1877,5,14,0,1,1
1877,5,15,0,1,2
1877,5,16,0,2,3
1877,5,20,0,2,2
1877,5,25,0,1,1
1877,5,26,0,1,1
1877,5,27,0,1,1
1877,6,3,0,1,1
1877,6,4,0,1,1
1877,6,15,0,1,1
1877,6,16,0,1,2
1877,7,4,0,1,1
1877,8,20,0,1,0
1877,8,27,0,1,0
1877,9,3,0,1,1
1877,9,16,0,1,1
1877,9,19,0,1,1
1877,9,25,0,1,0
1877,10,15,0,1,0
1877,11,13,1,1,1
1877,11,26,1,1,1
1878,1,3,0,1,1
1878,1,4,0,1,1
1878,1,10,1,1,2
1878,1,14,1,1,2
1878,1,17,1,1,1
1878,1,18,1,1,1
1878,1,20,1,1,2
1878,1,21,1,1,19
1878,1,22,2,2,19
1878,1,24,1,1,19
1878,1,25,0,1,0
1878,1,26,1,1,2
1878,1,28,1,1,1
1878,2,7,2,2,5
1878,2,12,1,2,17
1878,2,15,0,1,1
1878,2,16,1,1,10
1878,2,18,1,1,14
1878,2,20,1,1,18
1878,2,23,0,1,0
1878,2,25,1,1,4
1878,2,27,1,1,6
1878,3,1,1,2,4
1878,3,5,1,1,14
1878,3,6,1,1,11
1878,3,8,0,1,1
1878,3,9,1,1,14
1878,3,12,0,1,0
1878,3,13,1,2,8
1878,3,14,1,1,10
1878,3,22,1,2,16
1878,3,24,0,1,1
1878,3,27,1,2,10
1878,3,28,1,1,10
1878,3,30,1,2,12
1878,3,31,1,1,2
1878,4,1,1,1,1
1878,4,2,0,1,0
1878,4,8,1,1,7
1878,4,9,1,1,8
1878,4,10,0,2,1
1878,4,12,0,1,1
1878,4,15,1,2,19
1878,4,18,0,2,3
1878,4,19,1,1,5
1878,4,20,1,2,12
1878,4,21,1,1,8
1878,4,22,1,2,14
1878,4,24,1,1,2
1878,4,26,0,1,2
1878,4,28,1,1,17
1878,4,29,1,1,15
1878,4,30,1,3,35
1878,5,1,0,2,3
1878,5,2,0,1,1
1878,5,7,0,1,1
1878,5,8,0,1,1
1878,5,10,0,1,1
1878,5,11,0,2,2
1878,5,12,0,1,1
1878,5,13,0,1,1
1878,5,17,0,1,1
1878,5,22,0,1,0
1878,5,25,0,1,1
1878,6,7,0,1,1
1878,6,8,0,1,1
1878,6,15,0,1,1
1878,6,28,0,1,1
1878,8,27,0,1,1
1878,8,30,0,1,0
1878,9,21,0,1,1
1878,9,23,0,1,0
1878,10,1,0,1,1
1878,10,12,0,1,1
1878,10,15,0,1,1
1878,11,1,0,1,1
1878,11,2,0,1,1
1878,11,8,0,1,1
1878,11,9,0,1,1
1878,11,28,0,1,1
1878,12,17,0,1,1
1878,12,20,0,1,1
1879,1,16,0,1,1
1879,1,21,0,1,1
1879,1,22,0,1,1
1879,1,24,0,1,1
1879,2,4,0,1,1
1879,2,6,0,1,1
1879,2,18,0,1,1
1879,3,7,0,1,0
1879,3,16,0,1,0
1879,3,18,0,1,1
1879,3,22,0,1,1
1879,3,25,0,1,1
1879,4,11,0,1,1
1879,4,12,0,1,1
1879,4,13,0,1,2
1879,4,14,0,1,1
1879,4,15,0,2,2
1879,4,22,0,1,1
1879,4,24,0,1,1
1879,4,25,0,1,1
1879,4,28,0,1,1
1879,4,29,1,2,0
1879,5,5,0,1,1
1879,5,6,0,1,1
1879,5,10,0,1,1
1879,5,16,0,2,1
1879,5,22,0,1,0
1879,5,23,0,1,1
1879,5,26,0,1,0
1879,6,3,0,1,3
1879,6,6,0,1,0
1879,6,8,0,1,1
1879,6,10,0,1,1
1879,6,21,0,1,0
1879,6,25,0,1,0
1879,6,29,0,1,1
1879,7,1,1,1,1
1879,8,7,0,1,1
1879,8,13,0,1,1
1879,8,16,0,1,1
1879,8,23,0,1,0
1879,8,29,0,1,1
1879,9,10,0,1,1
1879,9,11,0,1,1
1879,10,1,0,1,0
1879,10,7,0,1,1
1879,10,10,0,1,1
1879,10,15,0,2,1
1879,10,18,0,1,1
1879,11,1,0,1,1
1879,11,3,0,2,1
1879,11,5,0,1,1
1879,11,27,0,1,0
1879,12,30,0,2,2
1879,12,31,0,1,1
1880,1,1,0,1,1
1880,1,7,0,1,0
1880,1,11,0,1,1
1880,1,20,0,1,1
1880,2,21,0,1,1
1880,2,26,0,2,2
1880,2,29,0,1,2
1880,3,2,1,1,1
1880,3,13,0,1,1
1880,3,17,0,1,0
1880,3,26,0,1,1
1880,4,5,0,1,1
1880,4,7,0,1,1
1880,4,8,0,1,1
1880,4,10,0,1,0
1880,4,20,0,1,1
1880,4,21,0,1,1
1880,4,22,0,1,2
1880,4,23,0,1,1
1880,4,25,0,1,1
1880,5,1,0,2,2
1880,5,2,0,1,1
1880,5,3,0,2,3
1880,5,4,0,1,1
1880,5,5,0,1,1
1880,5,6,0,1,2
1880,5,12,0,1,1
1880,5,17,0,1,1
1880,5,25,0,1,1
1880,5,31,0,1,1
1880,6,1,0,2,2
1880,6,13,0,1,1
1880,6,18,0,1,1
1880,7,12,0,1,1
1880,7,14,0,1,1
1880,7,23,0,1,1
1880,7,29,0,1,1
1880,8,2,0,1,1
1880,8,5,0,1,1
1880,8,6,0,1,1
1880,8,20,0,1,1
1880,9,1,0,2,2
1880,9,9,0,1,1
1880,9,11,0,1,1
1880,9,14,0,1,3
1880,9,15,0,1,1
1880,9,24,0,1,0
1880,10,23,0,1,1
1880,11,2,0,1,1
1880,11,23,0,1,1
1880,12,11,0,1,1
1880,12,14,0,1,1
1880,12,19,0,1,1
1880,12,29,0,1,1
1881,1,1,0,2,2
1881,1,6,0,1,1
1881,1,22,0,1,1
1881,1,28,0,1,1
1881,2,5,0,1,1
1881,2,15,0,1,1
1881,2,16,0,1,1
1881,3,6,0,1,1
1881,3,17,0,1,0
1881,3,23,0,1,2
1881,3,27,0,2,3
1881,4,2,0,1,1
1881,4,6,0,2,1
1881,4,8,0,1,1
1881,4,9,0,1,1
1881,4,12,0,1,1
1881,4,14,0,1,1
1881,4,15,0,1,1
1881,4,18,0,1,1
1881,4,23,0,1,1
1881,4,24,0,1,3
1881,5,1,0,1,1
1881,5,2,0,1,1
1881,5,3,0,1,1
1881,5,5,0,1,1
1881,5,6,0,2,2
1881,5,7,0,3,3
1881,5,8,0,1,1
1881,5,14,0,3,3
1881,5,16,0,1,1
1881,5,20,0,1,2
1881,5,28,0,1,1
1881,5,29,0,1,2
1881,5,30,0,1,1
1881,6,2,0,1,1
1881,6,9,0,1,0
1881,6,10,0,1,2
1881,6,19,0,1,4
1881,6,20,0,2,3
1881,6,25,0,1,1
1881,7,2,0,1,1
1881,7,4,0,1,2
1881,7,10,0,1,2
1881,7,14,0,2,1
1881,7,23,0,1,1
1881,7,26,0,1,1
1881,7,27,0,1,1
1881,7,30,0,1,1
1881,8,15,0,1,1
1881,9,19,0,1,1
1881,10,1,0,1,1
1881,10,8,0,1,1
1881,10,18,0,1,2
1881,11,1,1,1,1
1881,11,12,0,1,1
1881,11,14,0,1,0
1881,11,17,0,1,0
1881,12,24,0,1,1
1881,12,29,0,1,1
1882,1,1,0,1,1
1882,2,7,0,1,1
1882,2,10,0,1,2
1882,3,4,0,1,1
1882,3,13,0,1,2
1882,3,18,0,1,1
1882,3,26,0,1,1
1882,4,1,0,1,1
1882,4,3,0,1,1
1882,4,5,0,1,0
1882,4,6,0,1,1
1882,4,7,0,1,1
1882,4,10,0,2,2
1882,4,18,0,1,1
1882,4,19,0,1,1
1882,4,20,0,1,1
1882,4,26,0,2,2
1882,5,1,0,1,1
1882,5,2,0,2,2
1882,5,3,0,1,1
1882,5,4,0,3,3
1882,5,6,0,1,1
1882,5,7,0,1,2
1882,5,8,0,1,1
1882,5,9,0,1,1
1882,5,13,0,1,3
1882,5,15,0,1,1
1882,5,20,0,3,3
1882,5,21,0,1,1
1882,5,22,0,2,3
1882,5,23,0,1,1
1882,5,26,0,1,1
1882,5,28,0,1,1
1882,5,29,0,1,1
1882,6,1,0,1,1
1882,6,2,0,2,3
1882,6,3,0,1,1
1882,6,7,0,1,3
1882,6,16,0,1,1
1882,6,18,0,1,1
1882,6,23,0,1,2
1882,7,1,0,1,1
1882,7,4,0,1,2
1882,7,6,0,1,1
1882,7,9,0,1,1
1882,7,14,0,1,1
1882,7,16,0,1,2
1882,7,17,0,1,3
1882,8,1,0,1,1
1882,8,6,0,1,1
1882,8,28,0,1,1
1882,9,1,0,1,42
1882,9,18,0,1,1
1882,10,2,0,1,1
1882,10,22,0,2,3
1882,12,1,0,2,2
1882,12,5,0,1,5
1882,12,6,0,1,1
1882,12,8,0,1,1
1882,12,9,0,1,2
1882,12,10,0,1,3
1882,12,12,0,2,2
1882,12,13,0,1,2
1882,12,16,0,1,4
1882,12,17,0,1,2
1882,12,18,0,1,3
1882,12,20,0,1,3
1882,12,21,0,1,3
1882,12,22,0,1,6
1882,12,23,0,1,1
1882,12,24,0,1,7
1882,12,25,0,1,5
1882,12,26,0,1,2
1882,12,27,0,1,3
1882,12,28,0,1,1
1882,12,29,0,2,5
1882,12,30,0,1,1
1882,12,31,0,1,1
1883,1,1,0,4,2
1883,1,2,0,1,1
1883,1,4,0,2,2
1883,1,7,0,1,1
1883,1,8,0,1,2
1883,1,9,0,1,2
1883,1,10,0,1,1
1883,1,12,0,1,3
1883,1,13,0,1,1
1883,1,15,0,1,1
1883,1,17,0,1,3
1883,1,18,0,1,3
1883,1,19,0,1,1
1883,1,20,0,2,3
1883,1,21,0,1,1
1883,1,22,0,1,1
1883,1,23,0,1,1
1883,1,24,0,1,2
1883,1,25,0,1,3
1883,1,26,0,1,2
1883,1,27,0,1,3
1883,1,28,0,1,4
1883,2,1,0,2,4
1883,2,2,0,1,2
1883,2,3,0,1,1
1883,2,4,0,1,3
1883,2,5,0,1,1
1883,2,6,0,1,1
1883,2,7,0,1,3
1883,2,8,0,1,1
1883,2,9,0,1,2
1883,2,10,0,1,2
1883,2,11,0,1,3
1883,2,12,0,1,3
1883,2,13,0,1,2
1883,2,14,0,1,1
1883,2,15,0,1,1
1883,2,17,0,1,3
1883,2,18,0,1,3
1883,2,19,0,1,6
1883,2,20,0,1,3
1883,2,21,0,1,2
1883,2,22,0,1,1
1883,2,23,1,2,2
1883,2,24,0,1,2
1883,2,25,0,1,1
1883,2,26,0,1,1
1883,2,27,0,1,1
1883,2,28,0,2,5
1883,3,1,0,1,1
1883,3,20,0,1,1
1883,3,21,0,1,2
1883,3,22,0,2,3
1883,3,23,0,1,2
1883,3,24,0,1,2
1883,3,25,0,1,2
1883,3,26,0,1,2
1883,3,27,0,1,2
1883,3,28,0,1,2
1883,3,29,0,1,2
1883,3,30,0,1,2
1883,3,31,0,2,4
1883,4,3,0,2,7
1883,4,4,0,1,0
1883,4,6,0,1,1
1883,4,8,0,1,1
1883,4,11,0,1,1
1883,4,14,0,1,1
1883,4,15,0,1,2
1883,4,16,0,2,3
1883,4,17,0,1,2
1883,4,21,0,1,2
1883,4,22,0,1,1
1883,4,27,0,1,1
1883,5,3,0,1,1
1883,5,5,0,1,1
1883,5,8,0,1,1
1883,5,9,0,2,2
1883,5,11,0,3,0
1883,5,12,0,1,1
1883,5,13,0,1,3
1883,5,16,0,1,1
1883,5,17,0,1,1
1883,6,1,0,1,1
1883,6,4,0,1,1
1883,6,10,0,2,3
1883,6,14,0,1,1
1883,6,15,0,1,1
1883,6,17,0,1,1
1883,6,24,0,1,5
1883,6,25,0,3,3
1883,7,4,0,1,2
1883,7,5,0,1,2
1883,7,8,0,1,2
1883,7,12,0,1,2
1883,7,15,0,2,4
1883,7,18,0,1,0
1883,7,28,0,1,1
1883,8,20,0,1,1
1883,9,4,0,1,18
1883,9,15,0,1,0
1883,10,6,0,1,1
1883,10,15,0,1,1
1883,10,26,0,1,0
1883,11,1,0,1,1
1883,11,6,0,1,1
1883,11,11,0,1,1
1883,12,28,0,1,1
1884,1,1,0,2,1
1884,1,9,0,1,1
