,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
26,blujay,Blue Jay,Cyanocitta cristata,L8246257,"819 Lawn Avenue, Sellersville, Pennsylvania, US (40.365, -75.326)",2020-09-30 11:48,2.0,40.3650278,-75.3262896,True,False,True,S74243130
27,coohaw,Cooper's Hawk,Accipiter cooperii,L8246257,"819 Lawn Avenue, Sellersville, Pennsylvania, US (40.365, -75.326)",2020-09-30 11:48,1.0,40.3650278,-75.3262896,True,False,True,S74243130
28,blkvul,Black Vulture,Coragyps atratus,L12397340,"Windsor, Connecticut, US (41.864, -72.679)",2020-09-30 11:45,2.0,41.8640416,-72.6786977,True,False,True,S74243037
29,mallar3,Mallard,Anas platyrhynchos,L6360739,Harry Kessler Park--Ottawa River Viewpoint,2020-09-30 11:45,2.0,41.7118685,-83.4868448,True,False,False,S74243290
30,ribgul,Ring-billed Gull,Larus delawarensis,L6360739,Harry Kessler Park--Ottawa River Viewpoint,2020-09-30 11:45,,41.7118685,-83.4868448,True,False,False,S74243290
31,naswar,Nashville Warbler,Leiothlypis ruficapilla,L12397377,"Hubbard Park, Montpelier US-VT 44.26805, -72.57407",2020-09-30 11:45,2.0,44.268054,-72.574071,True,False,True,S74243288
32,easpho,Eastern Phoebe,Sayornis phoebe,L634474,Yard (Sunset Dr),2020-09-30 11:45,1.0,42.1603344,-71.8044401,True,False,True,S74243040
33,doccor,Double-crested Cormorant,Phalacrocorax auritus,L6360739,Harry Kessler Park--Ottawa River Viewpoint,2020-09-30 11:45,1.0,41.7118685,-83.4868448,True,False,False,S74243290
34,whtspa,White-throated Sparrow,Zonotrichia albicollis,L12397377,"Hubbard Park, Montpelier US-VT 44.26805, -72.57407",2020-09-30 11:45,5.0,44.268054,-72.574071,True,False,True,S74243288
35,hergul,Herring Gull,Larus argentatus,L6360739,Harry Kessler Park--Ottawa River Viewpoint,2020-09-30 11:45,,41.7118685,-83.4868448,True,False,False,S74243290
36,norpar,Northern Parula,Setophaga americana,L1943810,Chris and Pats yard,2020-09-30 11:44,1.0,41.4871662,-72.2466275,True,False,True,S74243233
37,amegfi,American Goldfinch,Spinus tristis,L1943810,Chris and Pats yard,2020-09-30 11:44,2.0,41.4871662,-72.2466275,True,False,True,S74243233
38,tuftit,Tufted Titmouse,Baeolophus bicolor,L1943810,Chris and Pats yard,2020-09-30 11:44,6.0,41.4871662,-72.2466275,True,False,True,S74243233
39,bkcchi,Black-capped Chickadee,Poecile atricapillus,L1943810,Chris and Pats yard,2020-09-30 11:44,1.0,41.4871662,-72.2466275,True,False,True,S74243233
40,whbnut,White-breasted Nuthatch,Sitta carolinensis,L1943810,Chris and Pats yard,2020-09-30 11:44,2.0,41.4871662,-72.2466275,True,False,True,S74243233
41,dowwoo,Downy Woodpecker,Dryobates pubescens,L1943810,Chris and Pats yard,2020-09-30 11:44,3.0,41.4871662,-72.2466275,True,False,True,S74243233
42,bawwar,Black-and-white Warbler,Mniotilta varia,L1943810,Chris and Pats yard,2020-09-30 11:44,1.0,41.4871662,-72.2466275,True,False,True,S74243233
43,treswa,Tree Swallow,Tachycineta bicolor,L1943810,Chris and Pats yard,2020-09-30 11:44,4.0,41.4871662,-72.2466275,True,False,True,S74243233
44,killde,Killdeer,Charadrius vociferus,L12397411,"4163 Cork Bocktown Road, Clinton, Pennsylvania, US (40.498, -80.327)",2020-09-30 11:43,1.0,40.4984656,-80.3274281,True,False,True,S74243517
45,eursta,European Starling,Sturnus vulgaris,L12397411,"4163 Cork Bocktown Road, Clinton, Pennsylvania, US (40.498, -80.327)",2020-09-30 11:43,2.0,40.4984656,-80.3274281,True,False,True,S74243517
46,chiswi,Chimney Swift,Chaetura pelagica,L12397411,"4163 Cork Bocktown Road, Clinton, Pennsylvania, US (40.498, -80.327)",2020-09-30 11:43,2.0,40.4984656,-80.3274281,True,False,True,S74243517
47,amecro,American Crow,Corvus brachyrhynchos,L12397411,"4163 Cork Bocktown Road, Clinton, Pennsylvania, US (40.498, -80.327)",2020-09-30 11:43,1.0,40.4984656,-80.3274281,True,False,True,S74243517
48,rthhum,Ruby-throated Hummingbird,Archilochus colubris,L2644493,East Fowler Rd,2020-09-30 11:41,1.0,42.1296572,-84.5343442,True,False,True,S74242904
49,comgra,Common Grackle,Quiscalus quiscula,L9748861,"34 Ellery Street, Cambridge, Massachusetts, US (42.372, -71.111)",2020-09-30 11:41,2.0,42.3715029,-71.110543,True,False,True,S74243376
50,houspa,House Sparrow,Passer domesticus,L9748861,"34 Ellery Street, Cambridge, Massachusetts, US (42.372, -71.111)",2020-09-30 11:41,3.0,42.3715029,-71.110543,True,False,True,S74243376
51,tenwar,Tennessee Warbler,Leiothlypis peregrina,L9478648,"141 Pavlus Road, Fort Plain, New York, US (42.963, -74.485)",2020-09-30 11:40,1.0,42.9633892,-74.4846282,True,False,True,S74243185
52,purfin,Purple Finch,Haemorhous purpureus,L2172195,backyard,2020-09-30 11:40,1.0,42.8344996,-82.4918747,True,False,True,S74243277
53,whevir,White-eyed Vireo,Vireo griseus,L1979258,El Refugio Silvestre,2020-09-30 11:40,1.0,27.5627649,-80.3989792,True,False,True,S74243079
54,acafly,Acadian Flycatcher,Empidonax virescens,L12397394,"2216 E Cherokee Dr, Woodstock US-GA 34.13864, -84.46354",2020-09-30 11:40,1.0,34.138643,-84.463543,True,False,True,S74243346
55,rebnut,Red-breasted Nuthatch,Sitta canadensis,L2172195,backyard,2020-09-30 11:40,2.0,42.8344996,-82.4918747,True,False,True,S74243277
56,cogdov,Common Ground Dove,Columbina passerina,L1979258,El Refugio Silvestre,2020-09-30 11:40,1.0,27.5627649,-80.3989792,True,False,True,S74243079
57,houfin,House Finch,Haemorhous mexicanus,L2172195,backyard,2020-09-30 11:40,3.0,42.8344996,-82.4918747,True,False,True,S74243277
58,grycat,Gray Catbird,Dumetella carolinensis,L9478648,"141 Pavlus Road, Fort Plain, New York, US (42.963, -74.485)",2020-09-30 11:40,1.0,42.9633892,-74.4846282,True,False,True,S74243185
59,rocpig,Rock Pigeon,Columba livia,L683555,Bryant Park,2020-09-30 11:38,1.0,40.7536729,-73.9832322,True,False,False,S74242748
60,sonspa,Song Sparrow,Melospiza melodia,L4139600,My Yard in Tucker,2020-09-30 11:37,1.0,33.8664774,-84.2122618,True,False,True,S74243263
61,buwtea,Blue-winged Teal,Spatula discors,L12397294,"3253 Rose Road, Batavia, New York, US (42.973, -78.27)",2020-09-30 11:37,6.0,42.9728699,-78.2697498,True,False,True,S74242759
62,robgro,Rose-breasted Grosbeak,Pheucticus ludovicianus,L4139600,My Yard in Tucker,2020-09-30 11:37,1.0,33.8664774,-84.2122618,True,False,True,S74243263
63,laugul,Laughing Gull,Leucophaeus atricilla,L12045999,Wildwood Crest--Seaview Ave/E Nashville Ave,2020-09-30 11:35,2.0,38.968305,-74.841163,True,False,True,S74242714
64,greegr,Great Egret,Ardea alba,L1136127,Point Lookout SP--The Point,2020-09-30 11:34,1.0,38.0400473,-76.322279,True,False,False,S74243313
65,norpin,Northern Pintail,Anas acuta,L853030,Lake Odessa Sewage Ponds (Lakewood Wastewater Authority),2020-09-30 11:34,5.0,42.7884365,-85.0922696,True,False,False,S74243020
66,grhowl,Great Horned Owl,Bubo virginianus,L3897351,EcOhio Farm and Wetland (restricted access),2020-09-30 11:34,1.0,39.4061633,-84.3022692,True,False,False,S74242662
67,musduc,Muscovy Duck,Cairina moschata,L656190,Sugden Regional Park,2020-09-30 11:34,6.0,26.1137509,-81.7621422,True,False,False,S74243243
68,buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L656190,Sugden Regional Park,2020-09-30 11:34,2.0,26.1137509,-81.7621422,True,False,False,S74243243
69,easblu,Eastern Bluebird,Sialia sialis,L12397370,"1700–1708 Radar Rd, Fleming Island US-FL 30.09206, -81.71251",2020-09-30 11:34,2.0,30.092056,-81.712507,True,False,True,S74243218
70,rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3897351,EcOhio Farm and Wetland (restricted access),2020-09-30 11:34,,39.4061633,-84.3022692,True,False,False,S74242662
71,norsho,Northern Shoveler,Spatula clypeata,L853030,Lake Odessa Sewage Ponds (Lakewood Wastewater Authority),2020-09-30 11:34,5.0,42.7884365,-85.0922696,True,False,False,S74243020
72,y00475,American Coot,Fulica americana,L656190,Sugden Regional Park,2020-09-30 11:34,3.0,26.1137509,-81.7621422,True,False,False,S74243243
73,grnher,Green Heron,Butorides virescens,L3897351,EcOhio Farm and Wetland (restricted access),2020-09-30 11:34,1.0,39.4061633,-84.3022692,True,False,False,S74242662
74,osprey,Osprey,Pandion haliaetus,L656190,Sugden Regional Park,2020-09-30 11:34,1.0,26.1137509,-81.7621422,True,False,False,S74243243
75,brnpel,Brown Pelican,Pelecanus occidentalis,L1136127,Point Lookout SP--The Point,2020-09-30 11:34,5.0,38.0400473,-76.322279,True,False,False,S74243313
76,anhing,Anhinga,Anhinga anhinga,L656190,Sugden Regional Park,2020-09-30 11:34,1.0,26.1137509,-81.7621422,True,False,False,S74243243
77,redhea,Redhead,Aythya americana,L853030,Lake Odessa Sewage Ponds (Lakewood Wastewater Authority),2020-09-30 11:34,4.0,42.7884365,-85.0922696,True,False,False,S74243020
78,whiibi,White Ibis,Eudocimus albus,L656190,Sugden Regional Park,2020-09-30 11:34,30.0,26.1137509,-81.7621422,True,False,False,S74243243
79,palwar,Palm Warbler,Setophaga palmarum,L12397370,"1700–1708 Radar Rd, Fleming Island US-FL 30.09206, -81.71251",2020-09-30 11:34,1.0,30.092056,-81.712507,True,False,True,S74243218
80,belkin1,Belted Kingfisher,Megaceryle alcyon,L3897351,EcOhio Farm and Wetland (restricted access),2020-09-30 11:34,1.0,39.4061633,-84.3022692,True,False,False,S74242662
81,categr,Cattle Egret,Bubulcus ibis,L656190,Sugden Regional Park,2020-09-30 11:34,3.0,26.1137509,-81.7621422,True,False,False,S74243243
82,cangoo,Canada Goose,Branta canadensis,L853030,Lake Odessa Sewage Ponds (Lakewood Wastewater Authority),2020-09-30 11:34,5.0,42.7884365,-85.0922696,True,False,False,S74243020
83,gbbgul,Great Black-backed Gull,Larus marinus,L1136127,Point Lookout SP--The Point,2020-09-30 11:34,4.0,38.0400473,-76.322279,True,False,False,S74243313
84,norfli,Northern Flicker,Colaptes auratus,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,2.0,42.1681112,-80.081749,True,False,False,S74243066
85,merlin,Merlin,Falco columbarius,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,1.0,42.1681112,-80.081749,True,False,False,S74243066
86,pibgre,Pied-billed Grebe,Podilymbus podiceps,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,5.0,42.1681112,-80.081749,True,False,False,S74243066
87,bkpwar,Blackpoll Warbler,Setophaga striata,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,3.0,42.1681112,-80.081749,True,False,False,S74243066
88,grbher3,Great Blue Heron,Ardea herodias,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,1.0,42.1681112,-80.081749,True,False,False,S74243066
89,yerwar,Yellow-rumped Warbler,Setophaga coronata,L1056703,Presque Isle SP--Thompson Bay,2020-09-30 11:30,7.0,42.1681112,-80.081749,True,False,False,S74243066
90,wooduc,Wood Duck,Aix sponsa,L1171628,Cheshire Lake--Nobody's Rd causeway,2020-09-30 11:28,26.0,42.5217342,-73.196875,True,False,False,S74242735
91,comyel,Common Yellowthroat,Geothlypis trichas,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,2.0,24.6034609,-81.5706199,True,False,False,S74243200
92,triher,Tricolored Heron,Egretta tricolor,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
93,magfri,Magnificent Frigatebird,Fregata magnificens,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
94,snoegr,Snowy Egret,Egretta thula,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
95,barswa,Barn Swallow,Hirundo rustica,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,3.0,24.6034609,-81.5706199,True,False,False,S74243200
96,royter1,Royal Tern,Thalasseus maximus,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
97,norwat,Northern Waterthrush,Parkesia noveboracensis,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
98,prawar,Prairie Warbler,Setophaga discolor,L7269870,Florida Keys WEA--Sammy Creek Landing,2020-09-30 11:27,1.0,24.6034609,-81.5706199,True,False,False,S74243200
99,camwar,Cape May Warbler,Setophaga tigrina,L1164379,Hillandale Park,2020-09-30 11:26,1.0,38.4423629,-78.8958263,True,False,False,S74242551
100,yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,L12397414,"Clarks Hill Park Dog Beach, Clarks Hill, South Carolina, US (33.672, -82.188)",2020-09-30 11:25,1.0,33.6720476,-82.1884786,True,False,True,S74243530
101,chispa,Chipping Sparrow,Spizella passerina,L12396827,"03244, Windsor US-NH 43.11410, -72.01589",2020-09-30 11:23,70.0,43.114098,-72.015887,True,False,True,S74243271
102,daejun,Dark-eyed Junco,Junco hyemalis,L12396827,"03244, Windsor US-NH 43.11410, -72.01589",2020-09-30 11:23,7.0,43.114098,-72.015887,True,False,True,S74243271
103,buhvir,Blue-headed Vireo,Vireo solitarius,L12396827,"03244, Windsor US-NH 43.11410, -72.01589",2020-09-30 11:23,2.0,43.114098,-72.015887,True,False,True,S74243271
104,pinwar,Pine Warbler,Setophaga pinus,L12396827,"03244, Windsor US-NH 43.11410, -72.01589",2020-09-30 11:23,5.0,43.114098,-72.015887,True,False,True,S74243271
105,yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,L12396827,"03244, Windsor US-NH 43.11410, -72.01589",2020-09-30 11:23,1.0,43.114098,-72.015887,True,False,True,S74243271
106,forter,Forster's Tern,Sterna forsteri,L1136116,Point Lookout SP--The Causeway,2020-09-30 11:22,4.0,38.0614053,-76.3264847,True,False,False,S74242430
107,fiscro,Fish Crow,Corvus ossifragus,L1136116,Point Lookout SP--The Causeway,2020-09-30 11:22,1.0,38.0614053,-76.3264847,True,False,False,S74242430
108,btnwar,Black-throated Green Warbler,Setophaga virens,L784907,Bald Eagle SP--Lower Greens Run,2020-09-30 11:22,1.0,41.0102485,-77.674123,True,False,False,S74242279
109,cedwax,Cedar Waxwing,Bombycilla cedrorum,L784907,Bald Eagle SP--Lower Greens Run,2020-09-30 11:22,2.0,41.0102485,-77.674123,True,False,False,S74242279
110,brwhaw,Broad-winged Hawk,Buteo platypterus,L12397184,"Nottingham Park, Nottingham US-PA 39.73989, -76.03730",2020-09-30 11:18,1.0,39.739894,-76.037305,True,False,True,S74242071
111,eastow,Eastern Towhee,Pipilo erythrophthalmus,L12397184,"Nottingham Park, Nottingham US-PA 39.73989, -76.03730",2020-09-30 11:18,1.0,39.739894,-76.037305,True,False,True,S74242071
112,haiwoo,Hairy Woodpecker,Dryobates villosus,L12397384,"Catawba College Ecological Preserve, Salisbury US-NC 35.69130, -80.47978",2020-09-30 11:18,2.0,35.691298,-80.479784,True,False,True,S74243306
113,brdowl,Barred Owl,Strix varia,L12397384,"Catawba College Ecological Preserve, Salisbury US-NC 35.69130, -80.47978",2020-09-30 11:18,1.0,35.691298,-80.479784,True,False,True,S74243306
114,amepip,American Pipit,Anthus rubescens,L1048147,Janoski's Farm,2020-09-30 11:18,3.0,40.4921644,-80.3318489,True,False,False,S74242828
115,perfal,Peregrine Falcon,Falco peregrinus,L12397156,"901–905 W First St, Kill Devil Hills US-NC 36.02174, -75.67962",2020-09-30 11:16,1.0,36.021736,-75.679623,True,False,True,S74241921
116,bongul,Bonaparte's Gull,Chroicocephalus philadelphia,L283187,Whirlpool SP,2020-09-30 11:16,12.0,43.1205482,-79.0660608,True,False,False,S74242620
117,commer,Common Merganser,Mergus merganser,L1083495,Cheshire Lake--Farnams causeway,2020-09-30 11:15,1.0,42.5388525,-73.183279,True,False,False,S74242168
118,scatan,Scarlet Tanager,Piranga olivacea,L808984,Florence Marina SP,2020-09-30 11:12,1.0,32.0901374,-85.0438356,True,False,False,S74242438
119,magwar,Magnolia Warbler,Setophaga magnolia,L389737,American Center Marsh,2020-09-30 11:10,1.0,42.4876453,-83.3025777,True,False,False,S74242577
120,hawk,hawk sp.,Accipitridae sp. (hawk sp.),L12397243,"J.P. Moseley Park Trail, Stockbridge, Georgia, US (33.534, -84.164)",2020-09-30 11:10,1.0,33.5339355,-84.163716,True,False,True,S74242393
121,pilwoo,Pileated Woodpecker,Dryocopus pileatus,L140299,SE Indianhead Acres (private residence),2020-09-30 11:08,2.0,30.4175453,-84.2526474,True,False,True,S74242284
122,sancra,Sandhill Crane,Antigone canadensis,L12100477,"CascadeLibrary, Grand Rapids US-MI (42.9116,-85.5049)",2020-09-30 11:07,3.0,42.911597,-85.504853,True,False,True,S74241582
123,caster1,Caspian Tern,Hydroprogne caspia,L12358124,"Island Beach State Park, Ocean Gate US-NJ 39.80828, -74.09327",2020-09-30 11:07,1.0,39.808278,-74.093274,True,False,True,S74242525
124,semplo,Semipalmated Plover,Charadrius semipalmatus,L12358124,"Island Beach State Park, Ocean Gate US-NJ 39.80828, -74.09327",2020-09-30 11:07,5.0,39.808278,-74.093274,True,False,True,S74242525
125,mutswa,Mute Swan,Cygnus olor,L12397277,"725 CR-629, Cape May Point US-NJ 38.94190, -74.96132",2020-09-30 11:07,6.0,38.941896,-74.961318,True,False,True,S74242623
126,indbun,Indigo Bunting,Passerina cyanea,L1528209,Hibernia County Park--Birdell Rd. (Chambers Lake),2020-09-30 11:06,1.0,40.0353202,-75.8573724,True,False,False,S74242607
127,amered,American Redstart,Setophaga ruticilla,L1528209,Hibernia County Park--Birdell Rd. (Chambers Lake),2020-09-30 11:06,1.0,40.0353202,-75.8573724,True,False,False,S74242607
128,woosto,Wood Stork,Mycteria americana,L2437906,Florida Gulf Coast University,2020-09-30 11:06,1.0,26.4640421,-81.7741585,True,False,False,S74242892
129,winwre3,Winter Wren,Troglodytes hiemalis,L1528209,Hibernia County Park--Birdell Rd. (Chambers Lake),2020-09-30 11:06,1.0,40.0353202,-75.8573724,True,False,False,S74242607
130,babwar,Bay-breasted Warbler,Setophaga castanea,L5157456,Lyman Lake Boat Ramp,2020-09-30 11:05,1.0,34.994522,-82.1967903,True,False,False,S74242560
131,ruckin,Ruby-crowned Kinglet,Regulus calendula,L1391635,State Game Lands 169--Cabin Rd.,2020-09-30 11:05,1.0,40.1526512,-77.4637105,True,False,False,S74243222
132,dunlin,Dunlin,Calidris alpina,L869458,Bombay Hook NWR--Saltmarsh Boardwalk Trail,2020-09-30 11:05,12.0,39.2540522,-75.4608325,True,False,False,S74242262
133,warble,warbler sp. (Parulidae sp.),Parulidae sp.,L1499732,Oak Top (Private),2020-09-30 11:05,2.0,41.8547833,-71.1776575,True,False,False,S74242900
134,chswar,Chestnut-sided Warbler,Setophaga pensylvanica,L1391635,State Game Lands 169--Cabin Rd.,2020-09-30 11:05,1.0,40.1526512,-77.4637105,True,False,False,S74243222
135,rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,L1597517,Neuse River Trail--Abbotts Creek,2020-09-30 11:04,1.0,35.9147972,-78.5711377,True,False,False,S74243045
136,yelwar,Yellow Warbler,Setophaga petechia,L12397119,"Long Leaf Park, Wilmington US-NC 34.20550, -77.88540",2020-09-30 11:04,1.0,34.205498,-77.885396,True,False,True,S74241676
137,linspa,Lincoln's Sparrow,Melospiza lincolnii,L12007703,Palmer Rd. flooding,2020-09-30 11:04,2.0,43.968562,-83.883358,True,False,False,S74243261
138,swaspa,Swamp Sparrow,Melospiza georgiana,L12007703,Palmer Rd. flooding,2020-09-30 11:04,3.0,43.968562,-83.883358,True,False,False,S74243261
139,savspa,Savannah Sparrow,Passerculus sandwichensis,L12007703,Palmer Rd. flooding,2020-09-30 11:04,3.0,43.968562,-83.883358,True,False,False,S74243261
140,semsan,Semipalmated Sandpiper,Calidris pusilla,L387180,Stewart B. McKinney NWR--Long Beach Blvd. Pond,2020-09-30 11:03,1.0,41.162017,-73.1551051,True,False,False,S74241992
141,pinsis,Pine Siskin,Spinus pinus,L4697773,Savoy Mountain State Forest--Tannery Rd,2020-09-30 11:03,10.0,42.6220159,-73.0069613,True,False,False,S74241999
142,gnwtea,Green-winged Teal,Anas crecca,L387180,Stewart B. McKinney NWR--Long Beach Blvd. Pond,2020-09-30 11:03,19.0,41.162017,-73.1551051,True,False,False,S74241992
143,greyel,Greater Yellowlegs,Tringa melanoleuca,L387180,Stewart B. McKinney NWR--Long Beach Blvd. Pond,2020-09-30 11:03,6.0,41.162017,-73.1551051,True,False,False,S74241992
144,ycnher,Yellow-crowned Night-Heron,Nyctanassa violacea,L387180,Stewart B. McKinney NWR--Long Beach Blvd. Pond,2020-09-30 11:03,1.0,41.162017,-73.1551051,True,False,False,S74241992
145,woewar1,Worm-eating Warbler,Helmitheros vermivorum,L10233981,Townsend yard,2020-09-30 11:02,1.0,27.900141,-82.231151,True,False,True,S74241747
146,easmea,Eastern Meadowlark,Sturnella magna,L605512,Polk Co. E. TN Tree Farm,2020-09-30 11:00,4.0,35.2411328,-84.5652008,True,False,True,S74242635
147,rudduc,Ruddy Duck,Oxyura jamaicensis,L12397376,"Griggs Reservoir Park, Columbus US-OH 40.01913, -83.09368",2020-09-30 11:00,1.0,40.019129,-83.093678,True,False,True,S74243273
148,amgplo,American Golden-Plover,Pluvialis dominica,L12397210,"525 Voganville Road, New Holland, Pennsylvania, US (40.123, -76.123)",2020-09-30 11:00,3.0,40.1232641,-76.1225378,True,False,True,S74242225
149,yetwar,Yellow-throated Warbler,Setophaga dominica,L3435766,Eustis FWC Lab,2020-09-30 11:00,1.0,28.8485466,-81.6919105,True,False,True,S74242098
150,musduc2,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),L12397376,"Griggs Reservoir Park, Columbus US-OH 40.01913, -83.09368",2020-09-30 11:00,2.0,40.019129,-83.093678,True,False,True,S74243273
151,botgra,Boat-tailed Grackle,Quiscalus major,L3435766,Eustis FWC Lab,2020-09-30 11:00,11.0,28.8485466,-81.6919105,True,False,True,S74242098
152,crecar1,Crested Caracara,Caracara cheriway,L12397410,"27600–27634 SH-359, Realitos US-TX (27.3629,-98.7581)",2020-09-30 10:58,2.0,27.362937,-98.758076,True,False,True,S74243498
